# SETUP CONFIGS
Path,setup_breakout_v1,setup_pullback_v1,setup_trend_continuation_v1,setup_consolidation_base_v1,setup_breakout_canonical,setup_breakout_strict,setup_consolidation_base_strict,setup_trend_continuation_template,setup_pullback_shallow,setup_pullback_fib,Readers,Coverage_Status
config_id,setup_breakout_v1,setup_pullback_v1,setup_trend_continuation_v1,setup_consolidation_base_v1,setup_breakout_canonical,setup_breakout_strict,setup_consolidation_base_strict,setup_trend_continuation_template,setup_pullback_shallow,setup_pullback_fib,"config_recommender.py,m14_setup_validators.py,step3_universal_eligibility.py,ticker_report.py",READ
setup_type,breakout,pullback,trend_continuation,consolidation_base,breakout,breakout,consolidation_base,trend_continuation,pullback,pullback,"config_recommender.py,funnel_diagnostics.py,outcome_queue.py,simulation_engine.py,step5_proposal_engine.py,ticker_report.py",READ
version,breakout_v1,pullback_v1,trend_continuation_v1,consolidation_base_v1,breakout_canonical_v1,breakout_strict_v1,consolidation_base_strict_v1,trend_continuation_template_v1,pullback_shallow_v1,pullback_fib_v1,action_service.py,READ
universe.min_price,5,5,5,5,5,5,5,5,5,5,"step3_universal_eligibility.py,ticker_report.py",READ
universe.min_avg_dollar_volume_20d,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,"step3_universal_eligibility.py,ticker_report.py",READ
universe.allowed_symbol_types,['stock'],['stock'],['stock'],['stock'],['stock'],['stock'],['stock'],['stock'],['stock'],['stock'],step3_universal_eligibility.py,READ
universe.eligibility_score_weights.liquidity,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"step3_universal_eligibility.py,step5_proposal_engine.py",READ
universe.eligibility_score_weights.price,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,step3_universal_eligibility.py,READ
universe.eligibility_score_weights.history,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,step3_universal_eligibility.py,READ
universe.routing.breakout.breakout_proximity_min,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,step3_universal_eligibility.py,READ
universe.routing.breakout.range_duration_min,10,10,10,10,10,10,10,10,10,10,step3_universal_eligibility.py,READ
universe.routing.pullback.pullback_depth_min,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,step3_universal_eligibility.py,READ
universe.routing.pullback.pullback_depth_max,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,step3_universal_eligibility.py,READ
universe.routing.trend_continuation.ema_alignment_min,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,step3_universal_eligibility.py,READ
universe.routing.trend_continuation.ema50_slope_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,step3_universal_eligibility.py,READ
universe.routing.consolidation_base.range_tightness_min,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,step3_universal_eligibility.py,READ
universe.routing.consolidation_base.range_duration_min,10,10,10,10,10,10,10,10,10,10,step3_universal_eligibility.py,READ
features.feature_schema_version,features_v03,features_v03,features_v03,features_v03,features_v03,features_v03,features_v03,features_v03,features_v03,features_v03,ticker_report.py,READ
validation.breakout_prox_min,-1.0,—,—,—,-0.05,-0.05,—,—,—,—,"m14_setup_validators.py,ticker_report.py",READ
validation.breakout_prox_max,0.5,—,—,—,0.5,0.3,—,—,—,—,"m14_setup_validators.py,ticker_report.py",READ
validation.min_base_duration,10,—,—,—,20,35,—,—,—,—,"m14_setup_validators.py,ticker_report.py",READ
validation.min_rvol_breakout,1.5,—,—,—,1.5,2.0,—,—,—,—,"m14_setup_validators.py,ticker_report.py",READ
validation.rvol_is_hard,True,False,False,—,True,True,—,False,False,False,"m14_setup_validators.py,ticker_report.py",READ
validation.min_atr_stop_floor_multiple,0.5,0.5,0.5,0.3,0.5,0.5,0.3,0.5,0.5,0.5,m14_setup_validators.py,READ
validation.k_atr_stop,1.0,1.2,1.5,1.0,1.0,1.0,1.0,1.5,1.2,1.2,step5_proposal_engine.py,READ
validation.buffer_atr_multiple,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,step5_proposal_engine.py,READ
validation.min_rr,1.8,1.8,1.8,1.8,1.8,2.0,1.8,1.8,1.8,1.8,step5_proposal_engine.py,READ
validation.min_setup_score,55,55,55,55,55,65,60,65,55,55,"m14_setup_validators.py,ticker_report.py",READ
scoring_weights.resistance_clarity,0.2,—,—,—,0.2,0.2,—,—,—,—,m14_setup_validators.py,READ
scoring_weights.breakout_confirmation,0.25,—,—,—,0.25,0.25,—,—,—,—,m14_setup_validators.py,READ
scoring_weights.volume_expansion,0.2,—,—,—,0.2,0.2,—,—,—,—,m14_setup_validators.py,READ
scoring_weights.base_quality,0.2,—,—,—,0.2,0.2,—,—,—,—,m14_setup_validators.py,READ
scoring_weights.target_room,0.15,—,0.1,—,0.15,0.15,—,0.1,—,—,m14_setup_validators.py,READ
ranking.top_n,,,,,,,,,,,"step5_proposal_engine.py,ticker_report.py",READ
earnings.avoid_within_bd,5,5,5,5,5,5,5,5,5,5,"m14_setup_validators.py,ticker_report.py",READ
earnings.penalty_points_max,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,"m14_setup_validators.py,ticker_report.py",READ
macro_event_risk.enabled,True,True,True,True,True,True,True,True,True,True,m14_setup_validators.py,READ
macro_event_risk.window_bd_before,1,1,1,1,1,1,1,1,1,1,,UNREAD
macro_event_risk.window_bd_after,1,1,1,1,1,1,1,1,1,1,,UNREAD
macro_event_risk.penalty_points,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,m14_setup_validators.py,READ
validation.pull_band,—,0.04,—,—,—,—,—,—,0.04,0.04,m14_setup_validators.py,READ
validation.max_pullback_depth,—,0.12,—,—,—,—,—,—,0.08,0.15,"m14_setup_validators.py,ticker_report.py",READ
validation.support_break_tol,—,0.02,—,—,—,—,—,—,0.02,0.04,"m14_setup_validators.py,ticker_report.py",READ
validation.rebound_required,—,True,—,—,—,—,—,—,True,True,m14_setup_validators.py,READ
validation.min_rebound_slope,—,0.002,—,—,—,—,—,—,0.002,0.002,m14_setup_validators.py,READ
validation.rvol_bonus_threshold,—,1.3,—,—,—,—,—,—,1.3,1.3,"m14_setup_validators.py,ticker_report.py",READ
scoring_weights.uptrend_intact,—,0.25,—,—,—,—,—,—,0.25,0.25,m14_setup_validators.py,READ
scoring_weights.support_ema_hold,—,0.25,—,—,—,—,—,—,0.25,0.25,m14_setup_validators.py,READ
scoring_weights.pullback_depth,—,0.2,—,—,—,—,—,—,0.2,0.2,m14_setup_validators.py,READ
scoring_weights.trend_structure,—,0.15,—,—,—,—,—,—,0.15,0.15,m14_setup_validators.py,READ
scoring_weights.rr,—,0.15,—,—,—,—,—,—,0.15,0.15,m14_setup_validators.py,READ
validation.min_ema_alignment,—,—,50,—,—,—,—,80,—,—,"m14_setup_validators.py,ticker_report.py",READ
validation.min_ema50_slope,—,—,0.0,—,—,—,—,0.005,—,—,"m14_setup_validators.py,ticker_report.py",READ
validation.roc_min,—,—,0.02,—,—,—,—,0.02,—,—,"m14_setup_validators.py,ticker_report.py",READ
validation.roc_max,—,—,0.4,—,—,—,—,0.35,—,—,"m14_setup_validators.py,ticker_report.py",READ
validation.max_ext,—,—,0.15,—,—,—,—,0.12,—,—,"m14_setup_validators.py,ticker_report.py",READ
validation.rvol_moderate_threshold,—,—,1.2,—,—,—,—,1.2,—,—,"m14_setup_validators.py,ticker_report.py",READ
scoring_weights.trend_health,—,—,0.25,—,—,—,—,0.25,—,—,m14_setup_validators.py,READ
scoring_weights.relative_strength,—,—,0.2,—,—,—,—,0.3,—,—,m14_setup_validators.py,READ
scoring_weights.extension,—,—,0.15,—,—,—,—,0.1,—,—,m14_setup_validators.py,READ
scoring_weights.momentum,—,—,0.2,—,—,—,—,0.2,—,—,m14_setup_validators.py,READ
scoring_weights.volume_health,—,—,0.1,—,—,—,—,0.05,—,—,m14_setup_validators.py,READ
validation.min_tightness,—,—,—,60,—,—,75,—,—,—,"m14_setup_validators.py,ticker_report.py",READ
validation.max_atr_pct,—,—,—,0.05,—,—,0.035,—,—,—,"m14_setup_validators.py,ticker_report.py",READ
validation.min_compression,—,—,—,50,—,—,65,—,—,—,m14_setup_validators.py,READ
validation.min_range_duration,—,—,—,10,—,—,15,—,—,—,"m14_setup_validators.py,ticker_report.py",READ
validation.price_above_base_tolerance,—,—,—,0.01,—,—,0.01,—,—,—,m14_setup_validators.py,READ
validation.min_dry_up,—,—,—,40,—,—,55,—,—,—,m14_setup_validators.py,READ
validation.min_earnings_days,—,—,—,5,—,—,5,—,—,—,"m14_setup_validators.py,ticker_report.py",READ
validation.rvol_required,—,—,—,False,—,—,False,—,—,—,,UNREAD
validation.enforce_compression_floor,—,—,—,False,—,—,False,—,—,—,m14_setup_validators.py,READ
scoring_weights.range_tightness,—,—,—,0.25,—,—,0.25,—,—,—,m14_setup_validators.py,READ
scoring_weights.support_resistance_clarity,—,—,—,0.2,—,—,0.2,—,—,—,m14_setup_validators.py,READ
scoring_weights.atr_compression,—,—,—,0.2,—,—,0.2,—,—,—,m14_setup_validators.py,READ
scoring_weights.volume_dry_up,—,—,—,0.15,—,—,0.15,—,—,—,m14_setup_validators.py,READ
scoring_weights.breakout_readiness,—,—,—,0.1,—,—,0.1,—,—,—,m14_setup_validators.py,READ
scoring_weights.stop_tightness,—,—,—,0.1,—,—,0.1,—,—,—,m14_setup_validators.py,READ
parent_config_id,—,—,—,—,setup_breakout_v1,setup_breakout_v1,setup_consolidation_base_v1,setup_trend_continuation_v1,setup_pullback_v1,setup_pullback_v1,,UNREAD

# RISK_LABEL_CONFIG
Path,Value,Readers,Coverage_Status
config_id,risk_label_config_v1,"config_recommender.py,m14_setup_validators.py,step3_universal_eligibility.py,ticker_report.py",READ
version,risk_v1,action_service.py,READ
factor_weights.stop_distance_pct,0.2,"funnel_diagnostics.py,step5_proposal_engine.py,ticker_report.py",READ
factor_weights.atr_pct,0.15,"funnel_diagnostics.py,m14_setup_validators.py,step5_proposal_engine.py,ticker_report.py",READ
factor_weights.ema_extension,0.1,step5_proposal_engine.py,READ
factor_weights.liquidity,0.1,"step3_universal_eligibility.py,step5_proposal_engine.py",READ
factor_weights.earnings_proximity,0.1,step5_proposal_engine.py,READ
factor_weights.estimated_rr,0.15,"funnel_diagnostics.py,simulation_engine.py,step5_proposal_engine.py,ticker_report.py",READ
factor_weights.market_regime,0.1,"m14_setup_validators.py,simulation_engine.py,step5_proposal_engine.py,ticker_report.py",READ
factor_weights.setup_confirmation,0.1,step5_proposal_engine.py,READ
thresholds.low_max,33,step5_proposal_engine.py,READ
thresholds.med_max,66,step5_proposal_engine.py,READ
scoring.confidence.high_threshold,75.0,m14_setup_validators.py,READ
scoring.confidence.medium_threshold,50.0,m14_setup_validators.py,READ
scoring.valuation_band_quality.cheap,100.0,,UNREAD
scoring.valuation_band_quality.fair,60.0,,UNREAD
scoring.valuation_band_quality.expensive,20.0,,UNREAD
buy_rules.min_rr_for_buy,1.8,step5_proposal_engine.py,READ
buy_rules.allowed_buy_labels,"['low', 'medium']",step5_proposal_engine.py,READ
buy_rules.block_market_regimes,['extreme_risk'],step5_proposal_engine.py,READ
buy_rules.block_if_regime_null,True,step5_proposal_engine.py,READ
buy_rules.max_stop_distance_pct,0.1,"step5_proposal_engine.py,ticker_report.py",READ
ranking.top_n,20,"step5_proposal_engine.py,ticker_report.py",READ
diversification.hard_cap_enabled,True,step5_proposal_engine.py,READ
diversification.sector_max_positions,4,step5_proposal_engine.py,READ
diversification.industry_max_positions,2,step5_proposal_engine.py,READ
diversification.sector_penalty_factor,0.9,step5_proposal_engine.py,READ
diversification.industry_penalty_factor,0.85,step5_proposal_engine.py,READ
diversification.penalty_applies_before_cap_only,True,,UNREAD
simulation.entry_rule,next_trading_day_open_raw,,UNREAD
simulation.return_price_type,adjusted_close,,UNREAD
simulation.slippage_bps,10,outcome_queue.py,READ
simulation.commission_per_trade,0,,UNREAD
simulation.horizons_bd,"[5, 10, 20, 40]",,UNREAD
simulation.min_resolved_outcomes_pct,0.85,,UNREAD
simulation.max_drawdown_constraint_pct,25,,UNREAD
