ticker,yahoo_symbol,symbol_type,active_flag,name,industry,market_cap,last_price,volume,source_symbol
NVDA,NVDA,stock,TRUE,NVIDIA Corporation Common Stock,Technology,5.29157E+12,218.66,169024638,NVDA
AAPL,AAPL,stock,TRUE,Apple Inc. Common Stock,Technology,4.57115E+12,311.23,44869329,AAPL
GOOGL,GOOGL,stock,TRUE,Alphabet Inc. Class A Common Stock,Technology,4.50945E+12,372.19,44055727,GOOGL
GOOG,GOOG,stock,TRUE,Alphabet Inc. Class C Capital Stock,Technology,4.47408E+12,369.27,37746211,GOOG
MSFT,MSFT,stock,TRUE,Microsoft Corporation Common Stock,Technology,3.17974E+12,428.05,26899672,MSFT
AMZN,AMZN,stock,TRUE,Amazon.com Inc. Common Stock,Consumer Discretionary,2.73005E+12,253.79,35609875,AMZN
AVGO,AVGO,stock,TRUE,Broadcom Inc. Common Stock,Technology,1.9834E+12,418.91,80980179,AVGO
META,META,stock,TRUE,Meta Platforms Inc. Class A Common Stock,Technology,1.59304E+12,627.57,21469795,META
TSLA,TSLA,stock,TRUE,Tesla Inc. Common Stock,Industrials,1.57158E+12,418.45,35324569,TSLA
MU,MU,stock,TRUE,Micron Technology Inc. Common Stock,Technology,1.12322E+12,996,54918645,MU
LLY,LLY,stock,TRUE,Eli Lilly and Company Common Stock,Health Care,1.05971E+12,1125.27,4046955,LLY
WMT,WMT,stock,TRUE,Walmart Inc. Common Stock,Consumer Discretionary,9.36984E+11,117.74,22870478,WMT
AMD,AMD,stock,TRUE,Advanced Micro Devices Inc. Common Stock,Technology,8.5313E+11,523.2,29110676,AMD
JPM,JPM,stock,TRUE,JP Morgan Chase & Co. Common Stock,Finance,8.33033E+11,310.89,10345186,JPM
ORCL,ORCL,stock,TRUE,Oracle Corporation Common Stock,Technology,6.79725E+11,236.34,19993803,ORCL
XOM,XOM,stock,TRUE,Exxon Mobil Corporation Common Stock,Energy,6.30198E+11,152.04,11799398,XOM
V,V,stock,TRUE,Visa Inc.,Consumer Discretionary,6.06571E+11,320.18,6981709,V
INTC,INTC,stock,TRUE,Intel Corporation Common Stock,Technology,5.61806E+11,111.78,77325860,INTC
JNJ,JNJ,stock,TRUE,Johnson & Johnson Common Stock,Health Care,5.49255E+11,228.17,7274827,JNJ
CSCO,CSCO,stock,TRUE,Cisco Systems Inc. Common Stock (DE),Telecommunications,5.12387E+11,130,23339475,CSCO
CAT,CAT,stock,TRUE,Caterpillar Inc. Common Stock,Industrials,4.3322E+11,940.48,3077031,CAT
COST,COST,stock,TRUE,Costco Wholesale Corporation Common Stock,Consumer Discretionary,4.31217E+11,972.35,2345413,COST
MA,MA,stock,TRUE,Mastercard Incorporated Common Stock,Consumer Discretionary,4.25675E+11,481.76,4020637,MA
LRCX,LRCX,stock,TRUE,Lam Research Corporation Common Stock,Technology,4.20705E+11,336.41,8277049,LRCX
AMAT,AMAT,stock,TRUE,Applied Materials Inc. Common Stock,Technology,3.98329E+11,501.7,6728987,AMAT
ABBV,ABBV,stock,TRUE,AbbVie Inc. Common Stock,Health Care,3.97422E+11,224.94,6782019,ABBV
BAC,BAC,stock,TRUE,Bank of America Corporation Common Stock,Finance,3.84422E+11,54.17,51883565,BAC
CVX,CVX,stock,TRUE,Chevron Corporation Common Stock,Energy,3.75117E+11,188.35,5163235,CVX
MS,MS,stock,TRUE,Morgan Stanley Common Stock,Finance,3.44274E+11,218.27,5565333,MS
GE,GE,stock,TRUE,GE Aerospace Common Stock,Technology,3.41849E+11,327.65,4243367,GE
PLTR,PLTR,stock,TRUE,Palantir Technologies Inc. Class A Common Stock,Technology,3.39699E+11,141.7,40834464,PLTR
KO,KO,stock,TRUE,Coca-Cola Company (The) Common Stock,Consumer Staples,3.30645E+11,76.82,19361697,KO
PG,PG,stock,TRUE,Procter & Gamble Company (The) Common Stock,Consumer Discretionary,3.2782E+11,140.78,8193970,PG
GS,GS,stock,TRUE,Goldman Sachs Group Inc. (The) Common Stock,Finance,3.22328E+11,1092.61,2608766,GS
HD,HD,stock,TRUE,Home Depot Inc. (The) Common Stock,Consumer Discretionary,3.09056E+11,309.95,4558637,HD
MRK,MRK,stock,TRUE,Merck & Company Inc. Common Stock (new),Health Care,2.97021E+11,120.26,15933949,MRK
IBM,IBM,stock,TRUE,International Business Machines Corporation Common Stock,Technology,2.83629E+11,301.77,9608125,IBM
KLAC,KLAC,stock,TRUE,KLA Corporation Common Stock,Technology,2.7838E+11,2131.1,825297,KLAC
TXN,TXN,stock,TRUE,Texas Instruments Incorporated Common Stock,Technology,2.77915E+11,305.37,7924377,TXN
MRVL,MRVL,stock,TRUE,Marvell Technology Inc. Common Stock,Technology,2.76813E+11,316.43,86903722,MRVL
DELL,DELL,stock,TRUE,Dell Technologies Inc. Class C Common Stock,Technology,2.7415E+11,422.05,12297460,DELL
PM,PM,stock,TRUE,Philip Morris International Inc Common Stock,Health Care,2.72732E+11,174.99,3411913,PM
SNDK,SNDK,stock,TRUE,Sandisk Corporation Common Stock,Technology,2.60591E+11,1759.68,10518633,SNDK
GEV,GEV,stock,TRUE,GE Vernova Inc. Common Stock,Uncategorized,2.58866E+11,963.33,2180361,GEV
QCOM,QCOM,stock,TRUE,QUALCOMM Incorporated Common Stock,Technology,2.55669E+11,242.57,14185649,QCOM
WFC,WFC,stock,TRUE,Wells Fargo & Company Common Stock,Finance,2.49773E+11,81.62,19452079,WFC
RTX,RTX,stock,TRUE,RTX Corporation Common Stock,Industrials,2.41608E+11,179.41,4697236,RTX
LIN,LIN,stock,TRUE,Linde plc Ordinary Shares,Basic Materials,2.34746E+11,507.45,2996020,LIN
C,C,stock,TRUE,Citigroup Inc. Common Stock,Finance,2.30509E+11,135.15,11482578,C
PANW,PANW,stock,TRUE,Palo Alto Networks Inc. Common Stock,Technology,2.27589E+11,279.25,9832327,PANW
AXP,AXP,stock,TRUE,American Express Company Common Stock,Finance,2.13247E+11,312.53,2992239,AXP
ANET,ANET,stock,TRUE,Arista Networks Inc. Common Stock,Telecommunications,2.0904E+11,166.01,10213963,ANET
ADI,ADI,stock,TRUE,Analog Devices Inc. Common Stock,Technology,2.08843E+11,428.76,3376723,ADI
WDC,WDC,stock,TRUE,Western Digital Corporation Common Stock,Technology,1.98365E+11,575.5,6488201,WDC
PEP,PEP,stock,TRUE,PepsiCo Inc. Common Stock,Consumer Staples,1.94286E+11,142.15,8089830,PEP
MCD,MCD,stock,TRUE,McDonald's Corporation Common Stock,Consumer Discretionary,1.93769E+11,272.72,3541646,MCD
TMUS,TMUS,stock,TRUE,T-Mobile US Inc. Common Stock,Telecommunications,1.91572E+11,177.02,5960616,TMUS
APP,APP,stock,TRUE,Applovin Corporation Class A Common Stock,Technology,1.87747E+11,558.87,4960397,APP
VZ,VZ,stock,TRUE,Verizon Communications Inc. Common Stock,Telecommunications,1.87357E+11,44.87,33072556,VZ
AMGN,AMGN,stock,TRUE,Amgen Inc. Common Stock,Health Care,1.86523E+11,345.6,2907078,AMGN
CRWD,CRWD,stock,TRUE,CrowdStrike Holdings Inc. Class A Common Stock,Technology,1.83035E+11,719.09,7449807,CRWD
APH,APH,stock,TRUE,Amphenol Corporation Common Stock,Technology,1.80562E+11,146.77,5619370,APH
TMO,TMO,stock,TRUE,Thermo Fisher Scientific Inc Common Stock,Industrials,1.79133E+11,482.03,2241876,TMO
NEE,NEE,stock,TRUE,NextEra Energy Inc. Common Stock,Technology,1.78672E+11,85.68,9488877,NEE
TJX,TJX,stock,TRUE,TJX Companies Inc. (The) Common Stock,Consumer Discretionary,1.75239E+11,158.63,5847474,TJX
DIS,DIS,stock,TRUE,Walt Disney Company (The) Common Stock,Consumer Discretionary,1.72505E+11,99.34,9568049,DIS
BA,BA,stock,TRUE,Boeing Company (The) Common Stock,Industrials,1.71393E+11,217.42,8054977,BA
GLW,GLW,stock,TRUE,Corning Incorporated Common Stock,Industrials,1.70148E+11,197.7,11424255,GLW
GILD,GILD,stock,TRUE,Gilead Sciences Inc. Common Stock,Health Care,1.60386E+11,129.18,13729212,GILD
SCCO,SCCO,stock,TRUE,Southern Copper Corporation Common Stock,Basic Materials,1.60331E+11,194.09,1176557,SCCO
DE,DE,stock,TRUE,Deere & Company Common Stock,Industrials,1.59735E+11,591.75,1769202,DE
BLK,BLK,stock,TRUE,BlackRock Inc. Common Stock,Finance,1.58736E+11,1022.56,1024204,BLK
T,T,stock,TRUE,AT&T Inc.,Telecommunications,1.58214E+11,22.77,82536398,T
ABT,ABT,stock,TRUE,Abbott Laboratories Common Stock,Health Care,1.58122E+11,90.78,14153172,ABT
UNP,UNP,stock,TRUE,Union Pacific Corporation Common Stock,Industrials,1.56681E+11,263.9,2325404,UNP
CRM,CRM,stock,TRUE,Salesforce Inc. Common Stock,Technology,1.54586E+11,188.75,14453566,CRM
SCHW,SCHW,stock,TRUE,Charles Schwab Corporation (The) Common Stock,Finance,1.53044E+11,88,11790238,SCHW
ISRG,ISRG,stock,TRUE,Intuitive Surgical Inc. Common Stock,Health Care,1.4833E+11,418.82,2353918,ISRG
