date,stock_tickers,benchmark_etf_index,total_rows,bad_quality_tickers
2025-06-02,4019,63,4082,245
2025-06-03,4019,63,4082,246
2025-06-04,4019,63,4082,245
2025-06-05,4019,63,4082,241
2025-06-06,4019,63,4082,240
2025-06-09,4019,63,4082,238
2025-06-10,4019,63,4082,238
2025-06-11,4019,63,4082,238
2025-06-12,4019,63,4082,234
2025-06-13,4019,63,4082,233
2025-06-16,4019,63,4082,231
2025-06-17,4019,63,4082,231
2025-06-18,4019,63,4082,229
2025-06-20,4019,63,4082,227
2025-06-23,4019,63,4082,222
2025-06-24,4019,63,4082,221
2025-06-25,4019,63,4082,219
2025-06-26,4019,63,4082,218
2025-06-27,4019,63,4082,217
2025-06-30,4019,63,4082,217
2025-07-01,4019,63,4082,217
2025-07-02,4019,63,4082,215
2025-07-03,4019,63,4082,215
2025-07-07,4019,63,4082,214
2025-07-08,4019,63,4082,214
2025-07-09,4019,63,4082,214
2025-07-10,4019,63,4082,214
2025-07-11,4019,63,4082,210
2025-07-14,4019,63,4082,209
2025-07-15,4019,63,4082,208
2025-07-16,4019,63,4082,207
2025-07-17,4019,63,4082,207
2025-07-18,4019,63,4082,207
2025-07-21,4019,63,4082,206
2025-07-22,4019,63,4082,206
2025-07-23,4019,63,4082,204
2025-07-24,4019,63,4082,203
2025-07-25,4019,63,4082,202
2025-07-28,4019,63,4082,202
2025-07-29,4019,63,4082,202
2025-07-30,4019,63,4082,201
2025-07-31,4019,63,4082,198
2025-08-01,4019,63,4082,197
2025-08-04,4019,63,4082,196
2025-08-05,4019,63,4082,196
2025-08-06,4019,63,4082,196
2025-08-07,4019,63,4082,194
2025-08-08,4019,63,4082,194
2025-08-11,4019,63,4082,193
2025-08-12,4019,63,4082,193
2025-08-13,4019,63,4082,193
2025-08-14,4019,63,4082,192
2025-08-15,4019,63,4082,190
2025-08-18,4019,63,4082,189
2025-08-19,4019,63,4082,189
2025-08-20,4019,63,4082,188
2025-08-21,4019,63,4082,186
2025-08-22,4019,63,4082,184
2025-08-25,4019,63,4082,184
2025-08-26,4019,63,4082,182
2025-08-27,4019,63,4082,182
2025-08-28,4019,63,4082,182
2025-08-29,4019,63,4082,182
2025-09-02,4019,63,4082,182
2025-09-03,4019,63,4082,182
2025-09-04,4019,63,4082,181
2025-09-05,4019,63,4082,180
2025-09-08,4019,63,4082,180
2025-09-09,4019,63,4082,179
2025-09-10,4019,63,4082,179
2025-09-11,4019,63,4082,177
2025-09-12,4019,63,4082,172
2025-09-15,4019,63,4082,172
2025-09-16,4019,63,4082,172
2025-09-17,4019,63,4082,171
2025-09-18,4019,63,4082,170
2025-09-19,4019,63,4082,168
2025-09-22,4019,63,4082,167
2025-09-23,4019,63,4082,167
2025-09-24,4019,63,4082,167
2025-09-25,4019,63,4082,166
2025-09-26,4019,63,4082,166
2025-09-29,4019,63,4082,165
2025-09-30,4019,63,4082,163
2025-10-01,4019,63,4082,162
2025-10-02,4019,63,4082,159
2025-10-03,4019,63,4082,158
2025-10-06,4019,63,4082,158
2025-10-07,4019,63,4082,158
2025-10-08,4019,63,4082,156
2025-10-09,4019,63,4082,155
2025-10-10,4019,63,4082,155
2025-10-13,4019,63,4082,155
2025-10-14,4019,63,4082,155
2025-10-15,4019,63,4082,155
2025-10-16,4019,63,4082,153
2025-10-17,4019,63,4082,152
2025-10-20,4019,63,4082,150
2025-10-21,4019,63,4082,150
2025-10-22,4019,63,4082,150
2025-10-23,4019,63,4082,150
2025-10-24,4019,62,4081,150
2025-10-27,4019,63,4082,147
2025-10-28,4019,63,4082,147
2025-10-29,4019,63,4082,147
2025-10-30,4019,63,4082,146
